id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
7033000,310,36863433,Private room,Italy,Bologna,,Porto - Saragozza,17,5,2,1,1,43,1,,2016-02-07 07:21:25.446075,44.499367,11.334322,0101000020E6100000A8AAD0402CAB2640CFD90242EB3F4640
4189367,310,21733407,Entire home/apt,Italy,Bologna,,Santo Stefano,92,4.5,5,0,1,79,1,,2016-02-07 07:21:16.651330,44.496593,11.351125,0101000020E6100000B29DEFA7C6B326401536035C903F4640
5604845,310,29055883,Entire home/apt,Italy,Bologna,,Santo Stefano,35,5,5,3,2,138,3,,2016-02-07 07:21:14.233623,44.497579,11.34414,0101000020E6100000AA7D3A1E33B0264094162EABB03F4640
7034054,310,36876763,Entire home/apt,Italy,Bologna,,Porto - Saragozza,35,5,4,2,1,75,1,,2016-02-07 07:21:00.889529,44.498435,11.33524,0101000020E6100000419FC893A4AB26404417D4B7CC3F4640
7833460,310,7353681,Private room,Italy,Bologna,,Navile,3,5,2,1,1,43,1,,2016-02-07 07:20:44.900212,44.530246,11.35451,0101000020E6100000BD35B05582B52640DB6AD619DF434640
1228557,310,4210797,Private room,Italy,Bologna,,Navile,27,5,2,1,1,42,2,,2016-02-07 07:20:37.842827,44.51301,11.351024,0101000020E6100000E338F06AB9B32640AF42CA4FAA414640
8860851,310,9140398,Private room,Italy,Bologna,,Santo Stefano,34,5,2,1,,46,1,,2016-02-07 07:20:20.845574,44.48651,11.350336,0101000020E610000011397D3D5FB32640A796ADF5453E4640
5623483,310,9643122,Entire home/apt,Italy,Bologna,,Porto - Saragozza,12,5,3,2,1,127,2,,2016-02-07 07:20:07.564615,44.492495,11.333995,0101000020E6100000170E846401AB2640C5387F130A3F4640
739168,310,3864812,Private room,Italy,Bologna,,Porto - Saragozza,113,4.5,2,1,2,60,1,,2016-02-07 07:20:02.539196,44.498694,11.341928,0101000020E6100000622CD32F11AF2640105B7A34D53F4640
6303411,310,32491350,Private room,Italy,Bologna,,Porto - Saragozza,39,4.5,1,1,1,31,2,,2016-02-07 07:19:58.915772,44.494779,11.338419,0101000020E6100000A7B0524145AD2640B1DF13EB543F4640
4562869,310,2283713,Entire home/apt,Italy,Bologna,,Santo Stefano,3,4.5,2,2,2,80,2,,2016-02-07 07:19:54.161084,44.494033,11.353768,0101000020E61000001FBE4C1421B5264088122D793C3F4640
5012513,310,25852274,Entire home/apt,Italy,Bologna,,Porto - Saragozza,53,5,5,2,1,89,2,,2016-02-07 07:19:47.743021,44.493759,11.339914,0101000020E6100000B4E7323509AE2640868DB27E333F4640
8248378,310,8630703,Entire home/apt,Italy,Bologna,,Porto - Saragozza,0,,4,2,1,184,4,,2016-02-07 07:19:34.108549,44.49531,11.337473,0101000020E6100000E690D442C9AC2640DEB06D51663F4640
4445459,310,23070661,Private room,Italy,Bologna,,Navile,3,5,2,1,1,46,1,,2016-02-07 07:19:31.916477,44.526746,11.344854,0101000020E610000021CA17B490B0264040A6B5696C434640
3488168,310,4520256,Entire home/apt,Italy,Bologna,,Porto - Saragozza,55,5,2,0,1,69,3,,2016-02-07 07:19:21.837598,44.492532,11.334123,0101000020E6100000CDAE7B2B12AB2640E21DE0490B3F4640
