id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location,
15884631,1179,38142153,Private room,,Bologna,,Santo Stefano,1,,2,1,,39,,"Ampia Camera, Bagno Privato, Ottima Posizione",2017-04-30 22:48:41.109675,44.484468,11.359345,0101000020E610000055F65D11FCB72640B1FA230C033E4640,
16870642,1179,112431935,Private room,,Bologna,,Porto - Saragozza,2,,2,1,,28,,Singola e Doppia,2017-04-30 22:48:41.111850,44.502936,11.318519,0101000020E61000002B4F20EC14A3264093FDF33460404640,
18224595,1179,125857360,Private room,,Bologna,,Santo Stefano,0,,1,1,,21,,Camera con letto matrimoniale in pieno centro,2017-04-30 22:48:41.113872,44.489044,11.342235,0101000020E6100000D717096D39AF26400B2769FE983E4640,
18177095,1179,19958088,Private room,,Bologna,,Navile,0,,2,1,,25,,Bologna Stazione AV,2017-04-30 22:48:42.199921,44.507568,11.345453,0101000020E6100000349C3237DFB02640813FFCFCF7404640,
18219942,1179,114122433,Private room,,Bologna,,Porto - Saragozza,0,,2,1,,29,,cosy room in the center,2017-04-30 22:48:43.839610,44.495244,11.334061,0101000020E6100000F5BC1B0B0AAB264026C5C727643F4640,
18222224,1179,63642785,Private room,,Bologna,,Porto - Saragozza,0,,1,1,,23,,Stanza singola con bagno privato in pieno centro,2017-04-30 22:48:43.847407,44.494451,11.335232,0101000020E610000035255987A3AB2640BC3C9D2B4A3F4640,
15105582,1179,37783394,Private room,,Bologna,,Santo Stefano,2,,4,1,,34,,accogliente atelier in centro,2017-04-30 22:49:34.734298,44.496309,11.351305,0101000020E6100000B2D7BB3FDEB32640F0DAA50D873F4640,
7504486,1179,732573,Private room,,Bologna,,Navile,0,,2,1,,34,,Stanza privata vicino stazione fs,2017-04-30 22:49:34.743698,44.506652,11.341309,0101000020E610000033A9A10DC0AE2640FC3905F9D9404640,
3869505,1179,19982224,Private room,,Bologna,,San Donato - San Vitale,1,,6,1,,30,,Casa Morandi una Bologna insolita,2017-04-30 22:49:34.758284,44.526524,11.402185,0101000020E61000002EE23B31EBCD26409147702365434640,
11356382,1179,59482470,Private room,,Bologna,,Porto - Saragozza,0,,2,1,,39,,"Doppia, due singoli, Sant'Isaia",2017-04-30 22:49:36.256886,44.495269,11.328365,0101000020E6100000554D10751FA826407FDC7EF9643F4640,
15333701,1179,71415646,Private room,,Bologna,,Santo Stefano,1,,2,1,,40,,VASTA CAMERA DAL SAPORE ANTICO,2017-04-30 22:49:42.264807,44.499426,11.348128,0101000020E6100000CFA44DD53DB22640D462F030ED3F4640,
11495009,1179,24018357,Private room,,Bologna,,Porto - Saragozza,0,,2,1,,39,,STANZA PRIVATA S.FELICE/MONTELLO,2017-04-30 22:49:42.272606,44.497499,11.322213,0101000020E61000002DB1321AF9A426407765170CAE3F4640,
18218903,1179,57731713,Private room,,Bologna,,Santo Stefano,0,,2,1,,41,,Camera matrimoniale in centro storico,2017-04-30 22:49:42.283512,44.503215,11.350435,0101000020E61000005DBF60376CB32640A6ED5F5969404640,
12791479,1179,8206556,Private room,,Bologna,,Santo Stefano,0,,1,1,,39,,Singola centro storico,2017-04-30 22:49:46.139222,44.495238,11.350002,0101000020E6100000B6114F7633B3264044DE72F5633F4640,
14986929,1179,93974570,Private room,,Bologna,,Navile,2,,1,1,,23,,Posto letto in camera condivisa,2017-04-30 22:49:47.234549,44.530518,11.380513,0101000020E6100000DC679599D2C226403CF88903E8434640,
17032601,1179,64299513,Private room,,Bologna,,Navile,0,,2,2,,34,,Bologna Rainbow Rooms,2017-04-30 22:49:48.214382,44.524827,11.314292,0101000020E6100000F3C98AE1EAA026406687F8872D434640,
12200080,1179,44678377,Private room,,Bologna,,Navile,1,,2,1,,28,,宜家风格的简约单人独立房间,2017-04-30 22:49:48.245042,44.520082,11.350661,0101000020E61000001FF7ADD689B32640809E060C92424640,
