id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month
15019,WIFI distinguished apartment in BO near FIERA,58333,Gianluca,,San Donato - San Vitale,44.498.444.264.376.300,11.359.609.854.323.900,Private room,41,1,62,05/03/17,0.81,1,365,june,2018
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,444.850.712.858.515,11.347.863.741.411.900,Entire home/apt,68,3,157,14/06/18,1.66,3,322,june,2018
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.491.455.468.419.400,11.335.035.377.810.200,Private room,28,1,147,25/06/18,1.56,3,355,june,2018
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,4.448.754.833.993.410,11.340.577.016.490.800,Entire home/apt,55,1,199,10/06/18,2.93,1,305,june,2018
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,4.449.699.262.412.880,11.322.056.843.021.500,Entire home/apt,69,1,5,16/07/15,0.10,1,324,june,2018
72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,4.448.971.877.929.870,1.132.072.251.647.730,Private room,36,2,29,21/04/18,0.35,2,365,june,2018
83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.510.127.960.382.300,11.343.160.937.088.900,Private room,29,1,70,19/06/18,0.81,2,358,june,2018
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.478.344.645.807.300,11.356.715.250.599.600,Entire home/apt,130,2,37,14/05/18,0.48,1,239,june,2018
85399,A bed in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.489.839.434.534.500,11.335.400.412.013.500,Shared room,26,1,112,10/07/14,1.28,3,333,june,2018
87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,4.449.109.068.103.250,11.322.442.256.675.300,Entire home/apt,80,4,21,20/03/18,0.29,2,201,june,2018
87369,Flat in Bologna 1-4 guests,478689,Michelle,,Porto - Saragozza,4.449.078.932.429.270,1.132.139.021.673.810,Entire home/apt,80,5,1,26/01/13,0.02,2,303,june,2018
106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,4.452.569.967.031.990,1.131.529.481.254.980,Private room,24,1,155,30/03/18,1.81,3,302,june,2018
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,444.675.509.848.099,11.388.903.192.700.700,Private room,50,2,25,19/10/16,0.30,1,365,june,2018
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,4.449.219.739.390.240,11.337.265.943.691.700,Private room,40,2,49,24/05/18,0.59,6,362,june,2018
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,4.448.944.095.850.850,1.134.848.169.460.720,Private room,35,1,81,26/06/18,0.96,6,59,june,2018
174609,be in the city standing campaign,834262,Vasco,,Borgo Panigale - Reno,4.451.051.339.172.900,11.272.953.645.662.200,Private room,30,1,2,19/03/14,0.04,4,364,june,2018
187872,HOMEMADE Breakfast Pasta or Pizza!,550844,Andrea & Susanna,,Navile,44.525.704.631.509.200,11.314.098.323.596.600,Private room,35,1,44,25/05/18,0.53,3,302,june,2018
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,4.449.104.877.664.520,11.339.822.011.165.200,Private room,43,2,205,20/05/18,2.47,1,107,june,2018
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.516.278.319.451.100,1.133.073.788.956.790,Private room,25,1,10,14/06/18,1.66,2,364,june,2018
219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,4.448.676.143.994.250,11.352.751.045.057.200,Entire home/apt,85,3,113,04/06/18,1.39,1,37,june,2018
228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,4.450.461.411.883.770,11.369.239.662.821.200,Entire home/apt,50,2,112,18/06/18,2.16,1,290,june,2018
228628,room in luxurious penthouse centre,1193466,Luca,,Porto - Saragozza,4.449.584.988.298.570,11.338.376.789.089.400,Private room,66,2,94,03/06/18,1.33,1,362,june,2018
229114,Terrace between fair&city center,1196205,Davide,,Navile,4.451.163.344.147.230,11.349.162.439.424.700,Entire home/apt,64,3,22,30/04/18,0.32,1,241,june,2018
233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.495.894.331.666.300,11.329.759.863.725.500,Entire home/apt,80,3,18,15/08/16,0.31,1,357,june,2018
