id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15019,"WIFI, distinguished apartment in BO, near FIERA",58333,Gianluca,,San Donato - San Vitale,44.498444264376346,11.359609854323985,Private room,41,1,62,2017-03-05,0.80,1,365
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.4850712858515,11.347863741411924,Entire home/apt,68,3,160,2018-07-29,1.68,4,267
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.491455468419446,11.335035377810266,Private room,28,1,150,2018-07-04,1.57,3,325
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48754833993418,11.340577016490862,Entire home/apt,55,1,203,2018-07-07,2.95,1,306
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699262412887,11.322056843021514,Entire home/apt,69,1,5,2015-07-16,0.09,1,324
72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48971877929874,11.32072251647731,Private room,36,2,29,2018-04-21,0.35,2,340
83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.510127960382356,11.343160937088964,Private room,26,1,70,2018-06-19,0.80,2,274
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.478344645807375,11.356715250599693,Entire home/apt,130,2,37,2018-05-14,0.48,1,270
85399,A bed in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.489839434534545,11.335400412013533,Shared room,26,1,112,2014-07-10,1.27,3,333
87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,44.49109068103253,11.322442256675343,Entire home/apt,80,4,21,2018-03-20,0.28,2,232
87369,Flat in Bologna 1-4 guests,478689,Michelle,,Porto - Saragozza,44.49078932429276,11.32139021673814,Entire home/apt,80,5,1,2013-01-26,0.01,2,334
106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,44.52569967031994,11.31529481254983,Private room,24,1,156,2018-06-18,1.80,3,333
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.4675509848099,11.388903192700726,Private room,50,2,25,2016-10-19,0.29,1,365
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49219739390243,11.337265943691733,Private room,40,2,50,2018-06-30,0.60,8,356
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944095850857,11.34848169460723,Private room,35,1,82,2018-07-04,0.96,6,26
174609,be in the city standing campaign,834262,Vasco,,Borgo Panigale - Reno,44.51051339172902,11.272953645662268,Private room,30,1,2,2014-03-19,0.04,4,364
187872,"HOMEMADE Breakfast, Pasta or Pizza!",550844,Andrea & Susanna,,Navile,44.525704631509285,11.314098323596635,Private room,35,1,44,2018-05-25,0.52,3,333
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49104877664529,11.339822011165275,Private room,43,2,205,2018-05-20,2.44,1,119
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.516278319451104,11.33073788956799,Private room,25,1,11,2018-06-29,1.56,2,319
214615,due doppie  Mascarella,885872,Giuliana,,Santo Stefano,44.501718263065776,11.350468468228264,Private room,40,1,4,2016-03-05,0.11,2,365
219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48676143994252,11.352751045057245,Entire home/apt,85,3,116,2018-07-28,1.41,2,139
228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,44.50461411883777,11.369239662821228,Entire home/apt,50,2,114,2018-07-01,2.16,1,275
228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49584988298575,11.338376789089493,Private room,66,2,94,2018-06-03,1.31,1,358
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163344147234,11.349162439424774,Entire home/apt,64,3,22,2018-04-30,0.31,1,240
233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.495894331666356,11.329759863725595,Entire home/apt,80,3,19,2018-07-02,0.32,1,327
245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.48680074533031,11.31470503801287,Entire home/apt,74,3,8,2017-11-07,0.10,2,149
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49701525646362,11.342905313542227,Private room,68,2,15,2018-04-21,0.21,1,322
250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48857577520298,11.347823247722388,Private room,35,1,80,2018-07-29,1.05,6,27
252657,"Two doubles, plus' sofa bed",885872,Giuliana,,Santo Stefano,44.5003516813198,11.35146605784205,Private room,40,1,20,2016-09-10,0.25,2,365
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.494874239385574,11.332412535463178,Entire home/apt,85,3,45,2018-06-24,0.58,1,279
273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517092160303,11.339642090545993,Private room,60,2,23,2018-03-28,0.56,1,363
274973," Apartment "" La Maison du Lipp "" ",1437518,Giampiero,,Santo Stefano,44.4874939121672,11.335124970220772,Entire home/apt,450,1,0,,,1,365
283973,Homely home in charming Bologna,1476568,Tanya,,Porto - Saragozza,44.49068615774751,11.32510294217792,Private room,35,1,18,2018-07-24,0.23,2,328
286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361256309284,11.369766507472415,Private room,50,1,20,2018-03-17,0.27,1,365
293536,Wonderful house in the city  heart,1517643,Nicola,,Santo Stefano,44.49438957379781,11.353714822832593,Entire home/apt,130,7,27,2018-07-17,0.35,1,341
306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555430000567,11.344304966349608,Entire home/apt,150,3,20,2018-07-13,0.26,1,313
