id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,march,2019
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,4.448.507,1.134.786,Entire home/apt,68,3,170,12/12/18,1.66,4,135,march,2019
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,4.449.146,1.133.504,Private room,28,1,166,12/02/19,1.61,2,352,march,2019
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,4.448.755,1.134.058,Entire home/apt,70,1,217,01/01/19,2.85,1,245,march,2019
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,4.449.699,1.132.206,Entire home/apt,69,1,6,07/12/18,0.10,1,342,march,2019
72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,4.448.972,1.132.072,Private room,36,3,30,01/01/19,0.33,2,331,march,2019
72628,Residenza al Collegio di Spagna,377010,Donatella,,Porto - Saragozza,4.449.175,1.133.921,Entire home/apt,132,1,0,,,2,240,march,2019
83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,4.451.013,1.134.316,Private room,26,30,70,19/06/18,0.74,2,168,march,2019
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,4.447.834,1.135.672,Entire home/apt,130,2,38,24/10/18,0.45,1,297,march,2019
87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,4.449.109,1.132.244,Entire home/apt,75,5,24,15/10/18,0.30,1,12,march,2019
106260,Nice room & great food experience!!,550844,Andrea & Susanna,,Navile,445.257,1.131.529,Private room,24,2,162,16/11/18,1.72,3,361,march,2019
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,4.446.755,113.889,Private room,50,2,25,19/10/16,0.27,1,362,march,2019
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,444.922,1.133.727,Private room,40,4,54,02/02/19,0.59,8,365,march,2019
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,4.448.944,1.134.848,Private room,35,1,89,10/02/19,0.96,6,162,march,2019
187872,HOMEMADE Breakfast Pasta or Pizza!,550844,Andrea & Susanna,,Navile,445.257,113.141,Private room,35,2,47,18/11/18,0.51,3,361,march,2019
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,4.449.105,1.133.982,Private room,44,2,223,04/03/19,2.44,2,53,march,2019
207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,4.449.254,1.134.009,Entire home/apt,110,3,38,24/08/18,0.47,2,76,march,2019
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,4.451.628,1.133.074,Private room,25,1,15,02/03/19,1.04,2,219,march,2019
219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,4.448.677,1.135.494,Entire home/apt,85,3,124,04/01/19,1.38,2,101,march,2019
228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,4.450.461,1.136.924,Entire home/apt,60,2,132,03/03/19,2.20,1,307,march,2019
228628,room in luxurious penthouse centre,1193466,Luca,,Porto - Saragozza,4.449.585,1.133.838,Private room,66,2,96,02/01/19,1.21,1,331,march,2019
229114,Terrace between fair&city center,1196205,Davide,,Navile,4.451.163,1.134.916,Entire home/apt,64,3,24,25/11/18,0.31,1,116,march,2019
233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,4.449.589,1.132.976,Entire home/apt,80,3,19,02/07/18,0.29,1,341,march,2019
245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,444.868,1.131.471,Entire home/apt,74,3,8,07/11/17,0.09,2,233,march,2019
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,4.449.702,1.134.291,Private room,68,2,16,11/11/18,0.20,1,302,march,2019
250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,4.448.858,1.134.782,Private room,35,1,103,24/02/19,1.24,6,163,march,2019
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,4.449.487,1.133.241,Entire home/apt,85,3,45,24/06/18,0.53,1,204,march,2019
273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,4.449.517,1.133.964,Private room,60,2,23,28/03/18,0.48,1,355,march,2019
283973,Homely home in charming Bologna,1476568,Tanya,,Porto - Saragozza,4.449.069,113.251,Private room,35,1,23,02/01/19,0.27,2,336,march,2019
286691,Sunny Quiet Room Near Center/Fiera ,1517686,Valerio,,Santo Stefano,4.447.361,1.136.977,Private room,50,1,20,17/03/18,0.25,1,359,march,2019
293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,4.449.439,1.135.371,Entire home/apt,130,7,26,17/07/18,0.31,1,0,march,2019
