,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zone
0,0,42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,174,2020-01-03,1.48,5,218,Galvani
1,1,46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49168,11.33514,Private room,29,1,257,2020-03-06,2.19,2,365,Malpighi
2,2,59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48817,11.34124,Entire home/apt,70,1,239,2020-01-12,2.63,1,282,Galvani
3,3,70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,63,1,6,2018-12-07,0.08,1,359,Saffi
4,4,72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49088,11.3384,Entire home/apt,40,1,26,2020-02-21,1.82,3,362,Malpighi
5,5,85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,40,2019-11-03,0.4,1,364,Murri
6,6,130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46817,11.39,Private room,50,2,28,2019-12-02,0.26,2,365,Mazzini
7,7,145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.49306,11.33786,Private room,40,3,63,2019-12-31,0.6,9,365,Malpighi
8,8,184665,"Due doppie,piu' divano letto",885872,Giuliana,,Santo Stefano,44.50189,11.35031,Private room,32,1,9,2020-02-20,0.14,5,365,Irnerio
9,9,204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,51,2,248,2020-02-23,2.34,2,64,Malpighi
10,10,207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254000000001,11.34009,Entire home/apt,110,4,46,2020-01-04,0.49,2,135,Malpighi
11,11,209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,19,2019-09-06,0.66,3,136,Lame
12,12,214615,due doppie  Mascarella,885872,Giuliana,,Santo Stefano,44.50172,11.35047,Private room,32,1,5,2020-01-02,0.08,5,365,Irnerio
13,13,219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48787,11.35392,Entire home/apt,89,3,137,2020-01-02,1.31,2,182,Galvani
14,14,229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,64,3,28,2019-12-01,0.3,1,132,Bolognina
15,15,233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.24,1,325,Malpighi
16,16,245295,dormire nel verde,1286718,Nicoletta,,Porto - Saragozza,44.4868,11.31471,Entire home/apt,74,3,8,2017-11-07,0.08,3,349,Costa Saragozza
17,17,246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,20,2020-01-01,0.22,1,364,Marconi
18,18,252657,"Two doubles, plus' sofa bed",885872,Giuliana,,Santo Stefano,44.50035,11.35147,Private room,32,1,20,2016-09-10,0.2,5,364,Irnerio
19,19,253252,"B/B, CASA VACANZE",885872,Giuliana,,Santo Stefano,44.50164,11.35185,Private room,32,1,0,,,5,364,Irnerio
20,20,266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,1,53,2020-03-01,0.53,1,301,Malpighi
21,21,273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.41,1,363,Marconi
22,22,286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,22,2020-03-06,0.23,1,365,Murri
23,23,293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,34,2019-10-20,0.35,1,359,Irnerio
24,24,306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,23,2019-11-04,0.23,1,257,Irnerio
25,25,309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.8,5,0,Galvani
26,26,359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,69,2020-05-01,0.72,2,199,Irnerio
27,27,359082,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49687,11.35013,Private room,55,7,2,2019-09-20,0.13,2,290,Irnerio
28,28,372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47733,11.34821,Entire home/apt,70,2,15,2020-03-13,0.44,1,196,Colli
29,29,373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,77,2020-02-23,0.8,5,158,Malpighi
30,30,374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49548,11.33022,Entire home/apt,250,2,214,2019-11-04,2.19,2,361,Malpighi
31,31,374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,51,2,78,2019-12-28,0.89,4,341,Irnerio
32,32,376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49564,11.33601,Entire home/apt,90,2,198,2019-09-22,2.02,5,317,Marconi
33,33,383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,161,2020-02-21,1.63,4,188,Marconi
34,34,411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.4931,11.35442,Entire home/apt,80,3,96,2020-01-03,1.15,3,314,Irnerio
35,35,434123,La valigia italiana,2157833,Grazia,,Santo Stefano,44.48532,11.36928,Private room,30,1,90,2019-11-19,0.92,1,179,S. Vitale
36,36,434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.38173,Private room,100,2,11,2018-09-27,0.12,1,321,San Donato
37,37,442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.49614,11.31751,Private room,40,1,113,2020-02-16,1.17,1,89,Costa Saragozza
38,38,496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.49032,11.33749,Entire home/apt,70,2,4,2019-07-21,0.06,2,273,Malpighi
39,39,510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2516628,Coach Maurizio Salamina,,Borgo Panigale - Reno,44.49596,11.2911,Private room,100,1,52,2016-01-02,0.56,1,136,Barca
40,40,524880,Petronio's house in the heart of Bo,2048622,Irene,,Santo Stefano,44.48855,11.35387,Entire home/apt,49,3,121,2020-01-02,1.27,3,358,Galvani
41,41,531700,"Downtotown ♥ 2Torri♥Cozy restaurants, museum",2613427,Caterina,,Santo Stefano,44.49441,11.34964,Entire home/apt,52,2,326,2020-05-09,3.47,1,231,Irnerio
42,42,556818,A nice flat in the heart of thcity,612927,Angiolo,,Santo Stefano,44.49723,11.34701,Entire home/apt,120,2,87,2020-01-03,1.0,1,257,Irnerio
43,43,570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49147,11.33661,Entire home/apt,100,2,64,2019-11-16,0.67,1,364,Malpighi
44,44,659045,wonderful apartment near the center,2453897,Alessandro,,Porto - Saragozza,44.49961,11.31763,Entire home/apt,60,2,4,2019-05-19,0.05,2,273,Saffi
45,45,670610,Easy Bologna for all seasons,3315552,Federica,,Porto - Saragozza,44.50361,11.33204,Entire home/apt,45,3,38,2020-01-03,0.42,1,343,Saffi
46,46,670725,Camera singola e bagno accogliente ,3398944,Enzo,,Savena,44.46988,11.37673,Private room,75,1,2,2018-10-07,0.02,2,365,S. Ruffillo
47,47,678013,CasaSimo-Appartamento su 2 livelli,12992655,Simo,,San Donato - San Vitale,44.49647,11.36231,Entire home/apt,65,2,27,2019-06-26,0.29,1,356,S. Vitale
