,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,zone
0,46352,Rental unit in Bologna · ★4.70 · 1 bedroom · 1 bed · 1 shared bath,467810,Eleonora,,Porto - Saragozza,44.49163,11.33398,Private room,32,2,382,2023-06-05,2.46,2,87,63,,Malpighi
1,85368,Rental unit in Bologna · ★4.91 · 2 bedrooms · 5 beds · 2 baths,467675,Anna Maria,,Santo Stefano,44.47888,11.35625,Entire home/apt,120,2,51,2023-06-03,0.37,1,162,11,,Murri
2,145779,Rental unit in Bologna · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,705535,Valerio,,Porto - Saragozza,44.49306,11.337860000000001,Private room,60,20,72,2023-05-27,0.5,6,331,1,,Malpighi
3,204553,Rental unit in Bologna · ★4.89 · 1 bedroom · 3 beds · 1.5 baths,569422,Elizabeth,,Porto - Saragozza,44.491820000000004,11.33912,Private room,82,2,260,2023-06-11,1.81,2,57,6,,Malpighi
4,207245,Rental unit in Bologna · ★4.82 · 3 bedrooms · 5 beds · 3 baths,569422,Elizabeth,,Porto - Saragozza,44.49155,11.33894,Entire home/apt,123,3,53,2023-04-10,0.4,2,5,3,,Malpighi
5,219878,Rental unit in Bologna · ★4.85 · 1 bedroom · 2 beds · 1 bath,1139326,Elisa,,Santo Stefano,44.48787,11.35392,Entire home/apt,119,3,160,2023-04-11,1.13,2,54,6,,Galvani
6,229114,Rental unit in Bologna · ★4.82 · 2 bedrooms · 4 beds · 1 bath,1196205,Davide,,Navile,44.51072,11.34957,Entire home/apt,82,3,61,2023-06-16,0.47,1,146,18,037006-AT-00169,Bolognina
7,245295,Home in Bologna · ★4.71 · 1 bedroom · 1 bed · 1 bath,1286718,Nicoletta,,Porto - Saragozza,44.485409999999995,11.31489,Entire home/apt,79,3,8,2017-11-07,0.06,1,0,0,,Costa Saragozza
8,246747,Rental unit in Bologna · ★4.69 · 1 bedroom · 2 beds · 1 shared bath,1294101,Giovanna,,Porto - Saragozza,44.49884,11.34315,Private room,90,2,42,2023-05-08,0.32,1,289,12,,Marconi
9,266777,Rental unit in Bologna · ★4.86 · 1 bedroom · 1 bed · 1 bath,1398894,Giulia,,Porto - Saragozza,44.49544,11.33114,Entire home/apt,75,60,52,2020-03-01,0.38,1,25,0,,Malpighi
10,293536,Rental unit in Bologna · ★4.76 · 3 bedrooms · 3 beds · 2 baths,1517643,Nicola,,Santo Stefano,44.493520000000004,11.35395,Entire home/apt,170,7,37,2022-09-27,0.27,1,330,3,,Irnerio
11,306910,Rental unit in Bologna · ★4.95 · 2 bedrooms · 1 bed · 1 bath,1578729,Giulio,,Santo Stefano,44.49718,11.3444,Entire home/apt,130,10,25,2022-07-03,0.18,1,1,1,,Irnerio
12,338331,Rental unit in Bologna · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,1718955,Valentina,,Navile,44.51753,11.35408,Private room,43,1,8,2018-09-27,0.06,1,355,0,,Bolognina
13,373095,Rental unit in Bologna · ★4.69 · 1 bedroom · 3 beds · 1 bath,1877146,Giulio,,Porto - Saragozza,44.49745,11.33025,Entire home/apt,69,2,78,2023-05-01,0.58,4,0,1,,Malpighi
14,374610,Condo in Bologna · ★4.41 · 1 bedroom · 1 bed · 1 bath,1884566,Federico,,Santo Stefano,44.48921,11.35713,Entire home/apt,73,2,104,2023-03-03,0.83,4,115,4,,Galvani
15,376826,Rental unit in Bologna · ★4.87 · 1 bedroom · 2 beds · 1 bath,1877146,Giulio,,Porto - Saragozza,44.49564,11.33601,Entire home/apt,94,2,223,2023-05-07,1.65,4,68,20,,Marconi
16,383256,Loft in Bologna · ★4.61 · 1 bedroom · 2 beds · 1 bath,1884566,Federico,,Porto - Saragozza,44.49984,11.343069999999999,Entire home/apt,89,2,190,2023-06-04,1.39,4,29,19,,Marconi
